,star,comment,label
24,10,극한직업보다 웃긴 마블영화,1
25,10,묘한 매력이 있는 영화 매력적인 여배우,1
26,8,다보고찾아왔는데 미야자와리에였다니 끝날때까지몰입감있음,1
27,9,역시 믿고 보는 르네 젤위거,1
28,10,가족의 사랑을 다시 한번 깨달게 하고 정말 감동적인 시나리오로 보는 내내 행복했다,1
29,8,요새 한국 영화 수준이 많이 높아져서 헐리우드도 별거 없다 생각했는데 이거보니 아 헐리우드 클라스가 한국 영화는 한참 멀었군요,1
30,10,희망을 주는 메시지에 화끈한 경주를 더하다,1
31,9,여성의 입장에선 최고의 영화,1
32,9,르네 젤위거 므흣,1
33,10,흡입력 영화적인 결말 스토리에 구멍 하나 없음모두 다 기억에 계속 남을거같아요,1
34,7,주연배우들과 조연배우들의 캐스팅 잘 되었고 배우출신 감독이 연출해서 그런지 연기들이 자연스럽고 감정연기가 섬세하다라스트에 소소한 감동이 스며들고 깔끔하게 끝난다산뜻하고 재미있는 영화,1
35,8,배우들의 목소리 연기가 잘 어울리네요 특히 전태일 역의 장동윤씨가 참 잘 하셨네요 그래서 감동이 더 배가된 것 같아요 그림도 이쁩니다,1
37,10,다양한 로맨스를 무겁지 않고 유쾌하게 그린 영화에요 역할마다 특색있고 재미있습니다,1
38,8,감동있는 소소한 영화네요 한번쯤 봐볼만한 영화라 생각됩니다,1
39,10,현실  풍자가 굉장함니다,1
40,10,좋은 스토리 좋은 배우,1
41,10,너무 재밌게 잘 봤어요,1
42,8,전종서 매력 개쩌는 영화 섹시하고 러블리함,1
43,9,와 재방송 넘나슬퍼서 영화관에서 봤으면 큰일이다 했어요 반장선거때문에 보고팠는데 재방송 강추,1
44,10,진짜재밌음 낼 또 보러 갑니다,1
45,10,위로하며 위로받는 삶,1
46,8,화려한 영상 패션 화려한 음악,1
47,8,발가락 반지는 손가락에 맞을리가 없었고 그에게 대답의 기회는 주어지지 않았다,1
48,10,재밌었고 배우들 연기가 좋았어요,1
49,9,뜬금없는 킬리와 타우리엘의 애정선이 아쉽지만 그래도 좋은 영화감독판으로 다시 보고 싶어요 감독판 재개봉 안되겠니,1
50,7,극도의 불친절함도 덮어버리는 매력이라면 관객을 홀리기에 충분하다,1
51,9,확장판으로 다시 보고 싶어요극장판은 소린의 아버지 내용이 다 빠졌다고 하네요,1
52,7,쏘쏘 평타는 해요 핫도그 먹고싶다,1
53,8,집에서 먹으면 돈 안내도 될텐데,1
54,10,과학은 양념이요 현실은 풍자와 비판이다 반드시 큰 스크린으로 보시라 아담 맥케이판 일어나지 않길 바라는 풍자 코메디,1
55,10,참뭐라 쓸평점이   느와르도 아니고 코미디도 아니고 감독이 노린건가 ,1
56,10,하이퍼리얼리즘이다 이정도면 너무무서워,1
57,8,홍콩의 자유시절이 돌아올까,1
58,10,뭔가 프로 부족한 느낌이 이 영화매력,1
60,8,극장에서 느긋하게 힐링하는 시간,1
61,8,중간에 살짝 루즈함도 있지만그래도 감동적이예요엔딩 음악도 좋고 기억에 남을 영화피한방울 안섞인 남남인데부모 자식간의 사랑이 이렇게 오랜시간지속이 된다는 게 신기해요,1
62,9,어릴때 재밌게 본 비디오 만환데 어른되고 몇년동안 뭐지 하면서 찾았는데 드디어ㅠㅠ 교훈있고 재밌게 봤던 기억이 있습니다ㅠ,1
63,10,사랑에 대해 다시 한번 생각해 보게 된 영화 나만을 위한 삶이 아닌 나와 너를 위한 삶 그런 삶이야말로 행복한 삶이 아닐까 ,1
64,10,올 메리 크리스마스 앤 해피 러브,1
65,8,흥미로웠던 초중반에 비해 후반부 전개가 좀 아쉬웠어요,1
66,10,소개팅어플 한번이라도 한사람은 공감되는 내용ㅋㅋㅋ물론 결말은 영화답게 끝났지만전종서 배우님의 대사들에 많이공감ㄷ했네요ㅋㅋㅋ손석구배우님은 넘 귀여우심ㅠㅡㅠ,1
68,9,듄이라는 대서사에 걸맞는 영화의 시작 다른 블록버스터 종류의 영화는 뭐야 벌써 끝나라는 시간이 너무 짧게 느껴지는 체감이 있지만 이 영화는 길었음에도 벌써 끝났나라는 다른 안타까움이 느껴지는 영화물론 이 영화는 지루한 편이다 초반의 영화 속 세계관 설명이 다른 몇몇 영화의 문제처럼 지나치게 긴 편 하지만 원작의 뒤에 이어질 듄의 다른 영화들을 위해서라면 이정도의 서사는 충분히 필요했을 것으로 사료된다하지만 국어 비문학 지문같은 딱딱함은 버릴 수 없었다 하지만 탄탄한 연기력을 가진 배우들의 연기와 그만큼의 화려한 볼거리로 이러한 문제들은 해결되는 편 약간의 아쉬움이 있지만 후속작이 기대된다,1
69,9,액션이 좋았고 박용우배우가 특히 기억에 남네요,1
70,8,형제와 부녀지간의 사랑을 느낄 수 있는 수작이네여,1
71,8,아기자기하고 아름다운 영상미메켄지 포이 포함 만으로도 볼만한 가치는 충분하다,1
72,10,연기도 좋고 몰입감도 있고 액션도 시원스러워서 좋았고 카체이싱도 실감나서 모두 좋았습니다,1
73,8,빌리 홀리데이의 인생과 그의 뒷조사와 조작을 했던 미정부의 탄압,1
74,10,중때 첨보고 년이 넘어 또 봐도 슬픔 오토바이성당웨딩드레스코피맨발고가도로 새벽녁하,1
75,7,강박증에 걸린 두 남녀의 사랑이야기 그러나 마지막은 아프다,1
76,10,가슴이 먹먹하네요 마지막엔 과연 저들을 누가 저렇게 만들었을까 사람일까 군대일까 젊은 청년들일텐데 너무 과몰입 한건가 ㅜ 한숨만 나왔네요,1
77,7,이정재의 연기가 맴돈다 스토리는 사실 기대이하,1
78,7,엔딩은 아쉽지만 액션신은 볼만하다는,1
79,8,젊은 감독들의 고군분투하는 모습과 현실에서의 고민,1
80,7,엄태구의 짧지만 강력한 카리스마  내용은 클래식한 독립군 이야기,1
81,9,세밀한 감정선을 따라가다보면 가슴먹먹한 여운을 주는 영화배우들 연기도 명작에 힘을 더합니다,1
82,7,잼있었어요 마동석씨 파트가 적어서 아쉬웠네요,1
83,9,탄지로와 네츠코와의 아름다운 남매의 연,1
84,8,귀여운 캐릭터들의 훈훈한 연기  아마도 그건 사랑이 였을꺼야 ,1
85,8,극장에서 보니 더욱 재밌는,1
86,7,액션신은 그럭저럭 볼만한 영화,1
87,7,는 너무 좋은데 스토리는 매우 아쉽다는,1
88,10,액션과 스릴을 업 시켜 줌,1
89,10,처음으로 혼영 했는데 재밌있ㄴ는 영화야서 기분이 좋았다,1
90,10,진짜 너무 재미있게 보았고 여러가지 엑소시스트 영화를 봤지만 한국영화에서 이정도의 몰입을 한기 오랜만이라고 생각됩니다 평점 물론 중요하지요 하지만 평점은 전반전인가요 나타낼뿐 진정한 영화의 가치는 직접보고 생각해야 한다고 생각합니다 그리고 편으로는 사제가 나올 예정이라고 하네요 꼭 한번 이 영화 보시기를 추천합니다,1
91,10,잘 나가다 밑도 끝도 없이 갑자기 울어 한다거나 뇌절을 거듭하며 극한까지 몰고가서 이래도 안 울어 하는 질 낮은 영화도 아닌데 그저 신파 ㅇㅈㄹ 하면서 깎아내리는 새끼들은 지내 부모 죽어도 신파 자제염 하려나 존나 꼴뵈기 싫네ㅡㅡ,1
92,8,셈세한 표현이 보이는 독특한 서부영화,1
93,8,코믹하면서 여러 생각을 가지게 만드는 작품,1
94,10,그냥 재미있음  윤계상 잘함,1
95,9,언니의 사랑이 돋보이는 수작 산드라블록의 연기는 진짜,1
96,10,말로 설명 못해요 이건 꼭 봐야할 명작입니다,1
97,10,꿈을 찾은 축복 받은 사람에게는 달려갈 힘을 꿈을 찾지 못하고 달리는 사람에게는 쉬어갈 용기를 주는 영화팬을 위한 영화라 하기에는 울림이 커서 여러 사람이 봤으면 좋겠다는 생각이 들어요 비대면 콘서트 정도로 생각하고 어머니랑 오랜만에 문화생활하자 싶어 예매했는데 예상과는 다르게 시작부터 눈물 꼭지를 세게 돌리더라고요 내가 가장 간절한 꿈을 가지고 있을 때 그 당시에 이 영화를 봤다면 지금과 다른 삶을 살고 있지는 않을까라는 생각에 눈물 꼭지 꽉 붙잡고 봤습니다 혼자 갔으면 주먹 물었을 거예요ㅜㅜ 감히 상상할 수 없는 노력으로 여기까지 온 그럼에도 여전히 달리고 있는 몬스타엑스 참 멋있습니다 어머니도 사랑스러운 사람들의 따뜻한 이야기 잘 봤다고 하셔요 영화 내내 배우님들이 외치던 몬베베 덕분에 잘 봤어요 감사합니다 저도 어머니도 오늘부로 몬베베인것 같네요,1
98,10,계속 생각나는 영화  여운이 진하게 남는 영화  영화를 보고나서도 꿈을 꾸는듯한 느낌이 계속 나는 영화 명작 베드신조차도 아름답고 여주인공  남주인공 너무 아름다운 영화 ,1
99,8,무한열차의 앞부분에 해당되는 탄지로 젠이츠 이노스케의 성장이 보인다는,1
100,7,극장에서 뮤지컬을 본다는 매력이 있어서 좋으나 음향이 좀 안타깝다는,1
101,10,이정도면 재밌는데 왜 평점이 낮은지 이해가 안가네요 황정민님 역시 연기 멋져요여자분 이년뒤에 어떻게 사시는지도 나왔으면 더 좋았을텐데 아쉽네요그리고 큰 부상이 없다니요산에서 구르고 어더터진게 얼만데 ㅠㅠ,1
102,8,힐링을 느낄 수 있는 이태리의 풍경,1
103,8,베네데타 그녀는 과연 예수님의 대리인인가 사기꾼인가,1
104,10,법내정을 먼저 보고 좀 아쉬운 부분이 있어서 큰 기대없이 봤는데 법외정은 너무 재밌었다 법정 공방 스토리도 꽤 탄탄하고 적당한 감동도 있고 유덕화의 아주 풋풋한 모습도 볼 수 있어서 좋았던 영화 잼나네요,1
105,7,초반은 지루한 감이 있었으나 후반은 재밌었네여,1
106,10,대초반에 이영화를 극장에서 보면서 그렇게 울었었는데,1
107,10,대초반에 이영화를 극장에서 보면서 그렇게 울었었는데,1
108,7,초반은 지루한 감이 있었으나 후반은 재밌었네여,1
109,10,성지순례왔습니다,1
110,8,년대의 음악과 함께 멋진 영상연출이 좋은 작품이네여,1
111,10,콜린퍼스의 눈빛 자태만으로도 항상 설레는 최애영화 푼수같은 브리짓을 그토록 무던하게 사랑해주다니 그런사람 영화니까 가능 ㅎㅎ,1
112,10,엔조 꼭 멋진 카레이서가 되길 어쩌면 엔조의 삶이 아니 데니의 삶이 엔조였을지도데니에게 달러는 본인이 아닌 엔조를 위한 최선이었음을엔조의 마지막이 또다른 시작일지도 모른다,1
113,8,편의 스토리만이라도 보신후 영화보시길 추천합니다 쿠기들도 너무 좋았어요 오티나 아트카드로 안나와서 아쉬워요ㅜ,1
114,9,자영과 우리의 좌충우돌 로맨스 주연배우 인의 연기가 너무 좋았음,1
115,8,영상미가 뛰어나고 다양한 굿즈 제공으로 관람하기 어려웠던 작품,1
116,8,결국 시스템이 할 수 있는건 아무것도 없었다 모든 인간의 도덕이 극치에 달한다면 얼마나 좋으리 허망한 꿈이다 채식하는 사자와도 같은,1
117,9,지구멸망 앞에서 사회풍자와 황금만능주의 및 개인주의를 잘 들어냈네여,1
118,7,코믹한 부분들도 있고 가볍게 보기 무난한 영화 배우분들 연기 좋았어요,1
119,8,맨날 히어로물만 만드는 나라인가 했는데 미국이란 나라를 적나라하게 까는 영화도 만들 줄 아는 나라였어 대단한 연기자들을 다 모아 신나게 까는구나 아야,1
120,9,이번에도 골때렸음 코난의 축구공이 나오는 순간 끝날때가 다되어가 시계를 보게 되더라고,1
121,8,능력이 없던 미라벨이 가문과 마을을 구해내는 좌충우돌기,1
122,10,평베베 평스타엑스 가보자고,1
123,8,액션신이 돋보이고 독특한 소재의 작품인것 같군여,1
124,10,영화를 보면서 시종일관 역시 제임스완 감독님 이라고 감탄을 거듭했습니다 첨엔 이것저것 떡밥이 많아서 정리가 잘 안되었는데 후반부에 다 퍼즐처럼 맞춰지네요 그리고 브금이 공포영화에선 흔치 않은 신선한 느낌을 줘서 너무 좋았습니다 마지막에 액션신도 짱이였어요 감독님 무병장수하시면서 매년 재밌는 영화 만들어주세요,1
125,9,다 보고 나니까 무슨 얘길 하려 했던건지 잘 모르겠지만 그냥 엄청 재밌게 봄ㅎㅎ,1
126,10,평 할래요 나 사랑한다 몬스타엑스,1
127,10,여운이 조금 남는 그런 영화였습니다재밌었어요,1
128,10,멋집니다오랸만에 멋진 영화봤네요,1
129,10,저는 아주 재밋었어요반전이 있고 배우들이 최선을 다한게눈에 보여요현실적인 스토리 풀어간것 같아요,1
130,8,류승완의 작품 좋아초중반은 그냥 밋밋 시시 조인성 연기도 영 어색 가벼워 보였음 조금 더 무게감 있는 배우였음 어땠을까 싶었음 중반이후 차량 추격신은 진짜 멋짐 전체적으로 차량씬만 기억날 정도로 마지막 엔딩은 짠하지만 좀 더 진한 결말을 원했던 저로써는 아쉬움 뭐 실화라 뭔가 평하기는 어려움 허준호 구교환은 진짜 연기 너무 훌륭히 잘했음 특히 구교환 죽음을 맞이했을때 슬펐음,1
131,10,몇번을 봐도 여전히 설레는 영화,1
132,10,사랑한다 몬스타엑스,1
133,8,역시 색감과 배치 그리고 스토리가 매우 재밌는 영화였어요 차 할 생각입니다,1
135,8,나를 온전히 이해하지만 사멸된 기억을 되살린 사람 증오에서 위로로,1
136,9,생각보다 많이 유쾌하고 박진감 넘치고 의미도 좋아요 캐릭터들 매력이 있어서 더 몰입해서 봤어요 ㅎㅅㅎ,1
137,10,그냥 하염없이 눈물이 나,1
138,10,사랑스럽다 사랑하고 싶어지는 영화,1
139,8,위트가 넘치는 컬트영화 재밌었다,1
140,10,극한직업보다 재밌어요 상영관 독점영화랑 비교불가 입니다,1
141,10,운명은 정해져 있는 걸까,1
142,10,지금봐도 다시감동담담하게 받아들여야하는 인생같은 영화,1
143,8,메시지는 너무 좋은데 시나리오가 좀 아쉽네요 건조하게 찍으려는 의도였는지는 모르겠지만 헐리우드 영화에 너무 익숙해서 그런가 조금 아쉬운 영화였습니다 주인공이 실제 인물이라는 점은 참 대단하게 느껴졌어요,1
144,10,혹시 부산 여자에겐 관심없습니까 제 인생을 바칠 준비 되어있습니다,1
145,10,인생에 필요한 달콤함이란각설탕 하나,1
148,10,아 줫나게 재밌다 평그거 해보자고,1
149,10,선크리 최고 꾀꼬리가 아닌지 ,1
150,9,넷플릭스로 봤는데 처음본 나쁜쪽 우두머리 배우님 참 인상깊었구요 마스크 또한 연기가 찰지도라구요  그 지옥에서 장성규닮은꼴그분도 머리를 밀고 나오셔서 임택트가 있었습니다 황정민 배우님은 믿고 보는거죠,1
151,9,올드팬들에겐 추억을 새로운팬들에겐 맥켄지라는 배우를 ,1
152,10,정혜인 대박 매력 철철넘치는 배우들,1
153,10,시대를 잘못 탄 영화  조폭영화 인기 잇을 때 나왓다면 진짜대박 낫을텐데,1
154,10,많이 웃고 울고 감동 받았어요 관람 잘했습니다,1
155,7,이야기보단 색감과 분위기에 매료된다,1
156,10,자연 한가운데에서 갑자기 찾아오는 정적속에 자연스럽게 숨이 멎고 내 심장 소리만 귀에 울리며 누군가 내 심장을 쥐고 있는듯한 느낌 이였음 영화 보는 내내 심장 졸이며 봄,1
157,10,진짜 뱅드림 팬들한테 너무 잘 만들어진 영화가 나와서 너무 좋아요 ㅎㅎ다음 영화가 기대됨,1
158,10,우리 나라 뽕을 리메이크 한 듯,1
159,8,다시보고싶은 재밌고 좋은 영화임은 틀림없었는데 알고도 복장터져서 오늘도 힘들었는데 한번 더 보는건 힘들듯그런데 또 영화관 가서 보고 싶긴 하다 스토리도 뜨악하고 연기 너무 잘하더라,1
160,10,박정민 원맨쇼로 이루어짐 연기 진짜잘함,1
161,10,최고의 영화 이 영화를 이제야 보게되었다니,1
162,10,본다 본다 해놓고 년만에 봤네요 이병헌 수애의 조합이 갠적으로 넘 좋아요아름다운 영상미와 연기력이 참 좋았어요잡혀들어가서 심문받을때 모른척하다막판에 껴안는 장면이 너무나 좋았습니다,1
163,8,피터 역 연기를 너무 잘해서 소름이 끼쳤고 대통령 아들은 진짜 한대쥐어박고싶었습니다,1
164,7,파격적일거라 너무 기대를 해서일까 여자끼리의 동성애도 성직자들의 민낯도 더이상 쇼킹하지가 않더라 어릴때부터 학대당했다던 소녀의 고문장면이 마음아플 뿐  끝나고 영화카드와 에코백 증정선물받아 그나마 돈아깝진 않았음,1
165,10,감동적이에요이 시대 사람들이 꼭 봐야 할 영화 기억해 주세요 아름다운 청년 전태일영상미 배우들의 목소리 연기 정말 좋았어요 시작부터 눈물 줄줄ㅜㅜ마음이 아픕니다,1
166,10,세상에 이토록 아름다운 이야기가 또 있을까,1
167,9,러브스토리가 없었다면 더 좋았을다음 내용인 반지의 제왕을 극장에서 볼 날만 기다리고 있다 올해 못봤다,1
168,9,정말정말 재밌음 다시봐도 재밌음 언제봐도 재밌음 그냥 재밌음   후회안할테니보시오,1
169,10,완벽하지않아두돼 망해도괜찮다고,1
170,8,설정이 참 재미있는 영화 그리고 그 재미있는 설정을 적당한 효과와 함께 영상으로 잘 표현 하였음,1
171,10,마지막 바다  펑펑 울었어요저도 아빠에게 사과받고싶어요위로받고싶어요,1
172,9,시간 가는줄 모르고 봤어요 전개도 빠르고 윤계상 연기 쵝오 오랜만에 꿀잼 영화 나온거같아요,1
173,8,본격 극사실주의 재난호러스릴러 아담 맥케이가 또 일냈다,1
174,7,외계인 숙주라도 힘만 있으면 좋은가봐요 평점 ,1
175,8,이거 설마 시리즈인가   하고 보는데 다음편을 위한 진입 영화인데  이럴꺼면  이건 유튜브나 이런데서 싸게 풀고 한 두달뒤에 편을 바로 상영해주던지  런닝타임이야 긴 건 상관 없는데 결국 또 한참을 기다려야 이야기를 끝맺을 수 있잖아 그리고 스포주의 지 마누라 하나 살리자고 나머지 다 죽게 만들고 배신한 새끼가 너무 쉽게 죽어버려서 엿같네 반역자 매국노새끼들은 언제 어느때고간에 죽여야함,1
176,8,자신 또한 외면했던 그녀를 감싸주는 또 다른 여성그들은 죽어도 싸,1
177,10,오열함 하 진짜 미치겠다,1
178,8,취향저격 황홀한 영상미하며 두 여주인공의 연기하며 눈을 뗄 수가 없었다,1
179,10,그떈몰랐읍니다미래 현실판일줄은요,1
180,7,솔직히 재밌습니다 편 바랍니다,1
181,10,시간 가는 줄 모르고 봤어욥 이거보면서 진짜 몬베베 하길 잘했다 이 생각 엄청 들었음 웃다가 울다가 춤추다가 노래부르다가 영화관에서 참 많은걸 하게하는 몬스타엑스 보시면 무조건 평베베되는 영화 내 생에 마지막 아이돌 사랑한다 몬스타엑스,1
183,8,내용은 띄엄띄엄하지만 웃기는 장면도 많이 나오메요,1
184,10,엄청 재밌었어요윤계상 배우 보려구 봤던 영화였는데 다른 배우분들한테도 빠져버린 엄청 재밌고 스토리도 신박해요 진짜 꼭 보세요 꼭,1
185,8,너무 기대하고 갔나봐요  마블 영화중에 가장 집중을 못했던 것 같아요,1
186,10,시간이 넘었다는 걸 끝나고 나서야 알았다 다시 보고 싶은 영화,1
187,7,말하고자 하는 의미는 알겠는데 크게 와닿지는 않았다,1
188,10,영화를 할 거라면 제발 이렇게,1
189,9,일단 믿고 보는 배우들이라 너무 재밌게 봤습니다 전종서 배우님 이런 연기도 너무 잘어울리네요,1
190,10,너무 재밌어 영상미 너무 좋아,1
191,10,엄청난 제작비 들이고도 별로 마음이 동하지 않는 영화들도 있는데요 잔잔하게 울림이 있네요오랜만에 꽤 괜찮은 영화 본 것 같아요,1
192,10,점을 줘도 모자랄 판 이라니 말이 안된다,1
193,9,고스트버스터즈 라이즈,1
194,10,돈 룩 업,1
195,8,신선한 소재에 액션 스토리 최근 본 한국 영화중 제일로 쫄깃 쫄깃 했습니다,1
196,10,재밌어요 ㅋㅋㅋㅋ  까지 푹 빠져 봤네요 정말 평범한 대 초반의 연애 같아요 진짜 남주는 갈수록 너무 멋있어서 입벌리고 봤네여,1
197,9,기대 안하고 봤는데 역시 마동석씨ㅎ,1
198,8,재밌어요 중간중간 나 농약 존나 써 같은 대사가 기억에 남음 ㅋ도 인사 같은 그런건 오그라들지만ㅎ,1
199,10,이렇게 또 사랑스럽고 행복한 크리스마스 영화가 있을까년이 지났지만 또 생각이 납니다,1
200,10,평베베하고싶으면 냅다 이거 보면됨그냥 내 이름을 베베로 개명하고시픔,1
201,8,고스트 버스터즈 어릴적 추억이 살아나는 영화,1
202,10,년 영화인데 지금 봐도 좋다 몇번을 봐도 감동이다,1
203,10,아놔 진짜 재밌게 봤다 ㅠㅠ,1
204,10,스토리는 약하지만 류승룡의 연기로 끌어가는 코믹과 다른 연기자들의 서포트로 꽤 볼만한 영화였음 코로나 이후로 코믹영화가 없기도 하고 웃음이 나오는 일이 별로 없었는데 영화보면서 생각없이 웃을 수 있었다 볼 만한 영화였다블랙위도우보다 재밌는거같은데,1
206,8,올해 보고나서 후회안된 거의 유일한 영화,1
207,9,영화관에서 볼 수 있어서 좋았어요 ㅎ,1
208,10,엔니오모리꼬네 음악과 아네트베닝   너무 아름다운 영화,1
209,7,스토리는 감동적이구요 대사나 액션이 좀 밋밋하게 느껴졌어요윤계상 배우님 액션씬 멋지네용 ㅎㅎ잘봤어요,1
210,9, ,1
211,8,지옥은 저런곳에 숨어있었구나,1
212,10,의외로  몰입감도 있고  반전도 있고  시간가는줄 모르고  재밌게 본 영화인데 평점이 생각보다 낮네요,1
213,8,재밌었다,1
214,8,행성 충돌이 주제인 영화가 어떻게 코미디인가 의문을 품으며 보고나니 끝나고 나올 때 납득이 가는 영화 무거운 주제를 코미디에 잘 녹여 냈다고 생각,1
215,10,로맨스 영화 뻔하고 지루해서 안보는데 친구 추천 받아서 오랜만에 보러 갔다왔어요 기대 많이 하고 갔는데도 너무 재밌게 봤네요 이런 참신한 로맨스 영화 많이 나왔으면 좋겠어요 시간 안 아까운 영화,1
216,10,최애영화 쵝그고고고,1
217,10,나는 이 영화가 정말 내 인생영화였고 생각날때마다 넷플 왓챠로 다시 돌려보는데 왓챠 평가보고 생각보다 평이 너무 안좋아서 놀랐다 연출도 그렇고 스토리도 그렇고 난 너무 마음에 들었고 감동적이였고 보면서 대성 통곡을 할 정도로 몰입해서 봤는데 너무 까이고 있길래 정말 놀랐음 송중기배우가 대사가 진짜 거의 없는데도 몸이랑 표정으로 연기를 너무 잘해서 진짜 감탄하면서 봤다 영화 색감도 예쁘고 분위기도 예쁘고 모든게 예쁘고 좋았는데 심지어 악역까지 보면서 욕나올정도로 연기 잘하고 임팩트있어서 진짜 몰입해서 봤는데 그래도 진짜 동화같고 딱 판타지스러운 영화라 취향따라 갈릴수도 있겠구나 생각은 든다 하지만 진짜 자기 취향에 잘맞는다면 행복하게 볼 수 있는 영화 한번보고 내 인생영화 등극해서 정말 자주 생각나는 영화 이 영화로 주연배우들한테 푹 빠졌다,1
218,10,드라마보다 나은거같아요,1
219,10,배우들 연기 가까이에서 봐서 좋아요 음향은 뮤지컬과 너무 차이남 ㅠ 스토리는 좋아서 울었습니다,1
220,10,완전 재밌었음 그리고 다양성이 많이 보여서 너무너무 좋았음,1
221,10,주년인데 전혀 어색하지않은 영화,1
222,10,한국 특유의 신파가 있는건 사실인데 지금 나오는 류잡배 같은 영화들 보다 돈주고 볼 가치는 충분하다고 봄 재개봉 하면 좋겠다이젠 별이 되신 여운계 선생님을 비롯하여 많은 배우님들의 젊은모습과 특히 이문식 배우님 똥 참는 연기는 진짜 일품이였다  내가 마려운지 알았다,1
223,10,기괴한 현실을 풍자하는 웰메이드 영화혼자서 재밌게 봤습니다 연인 가족끼리 보는건 우리나라 정서상 즐겁게 보긴 어려울 수 있겠네요,1
224,10,마지막 전투씬이 진짜 최고,1
225,10,전종서 진짜 매력있는 배우네요,1
226,8,색감이나 음악 이런건 좋은데 스토리가 후다닥 마무리되는 느낌이네요 어린아이들에겐 재밌게 볼 수 있을 듯하지만  코코보다는 작품성이 떨어지긴 하네요,1
227,10,경찰차 추격신이 인상깊음 배우들의 연기도 디테일하네요,1
228,8,우리나라 경찰 총좀 쏘게해주세요답답해서 죽겠습니다,1
229,10,나 평 그거됐다 사랑한다 몬스탁스 ,1
230,10,넷플릭스에 있어서 봤는데 분만 껏습니다시작하자마자 침몰시점 애들 영상이 나오는데 못보겠더군요,1
231,8,디즈니는 역시디즈니 음악도좋고  미소가떠나지않네요,1
232,8,눈물이 찔끔 인류애충전디즈니는 디즈니,1
233,10,따뜻한 수채화풍 이야기소소하면서도 정다운 우리네 이야기,1
234,10,편보다는 못하지만  잼있게  잘 봤어요 ,1
235,10,스토리가 탄탄하지 않다는 후기들이 꽤 있어서 걱정했는데 너무 감동적이고 교훈적인 영화였다 영상미도 화려해서 좋았다,1
236,10,멀보든간엔기대를쳐하지말고편하게봐라,1
237,9,말그대로 코믹 영화였다지루한줄  모르고 재미있게 잘봤다,1
238,10,영상미 미쳤어요,1
239,7,피터가 너무 잘생김 원작고증 실패   지금 는 하,1
240,10,역시 황정민입니다 구수한 연기,1
241,10,누구나 한 번은 진다 지는 걸 받아들이고 더욱 더 연습 하고 연습 해서 이기는 것이 진정한 챔피언이다,1
